ID,Seed,Execution,Generation,GenCreation,isChild,isMutant,Integer_encoding,Binary_encoding,Genotype,Crossover_type,Mutation_type,Search_strategy,Epochs,Accuracy_history,Loss_history,Accuracy,Top1,Top5,Loss,FLOPs,Num_Params,SizeMB,P1_idx,P2_idx,P1,P2,Before_Mut,HD_P1,HD_P2,HD_BM,Succ_Crossover,Succ_Mutation,Total_Crossovers,Total_Mutations,Succ_Crossover_ratio,Succ_Mutation_ratio,Was_invalid,arch_status,NFHT,Trained_Completely,Has_CM,Confusion_matrix,cm_accuracy,cm_precision_macro,cm_recall_macro,cm_f1_macro,Ranking,HHSE,Objectives
BASILF[M],42,1,100,12,False,False,"[14, 28, 20, 15, 33, 7, 14, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.584529919,0,0,,859369964.0,2535460.0,9.672012329,RNVDD[M],JSJTW[M],"[44, 28, 20, 14, 33, 7, 14, 22]","[14, 28, 20, 10, 0, 8, 15, 22]","[14, 28, 20, 14, 33, 7, 14, 22]",0.125,0.5,0.125,0,0,0,0,0.2,0.1,False,BEST,0.12,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BWDHHY[M],43,2,100,18,False,False,"[14, 16, 18, 38, 33, 38, 39, 4]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [32, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.592423543,0,0,,510120812.0,2854180.0,10.88783264,NSRCI[M],YYASL[M],"[14, 62, 18, 38, 33, 38, 39, 4]","[14, 16, 18, 38, 34, 38, 39, 37]","[14, 16, 18, 38, 33, 38, 39, 4]",0.125,0.25,0.0,0,0,0,0,0.05,0.0,False,BEST,0.18,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BSDTZP[M],44,3,100,23,False,False,"[19, 6, 26, 38, 18, 38, 39, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [64, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.581774286,0,0,,542527660.0,3267748.0,12.46546936,HBYVC[M],NUVHJ,"[19, 22, 26, 40, 18, 38, 39, 22]","[19, 6, 26, 38, 18, 38, 21, 22]","[19, 6, 26, 38, 18, 38, 39, 22]",0.25,0.125,0.0,0,0,0,0,0.1,0.0,False,BEST,0.23,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BCUCTU[M],45,4,100,30,False,False,"[16, 36, 2, 16, 30, 6, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.58853411,0,0,,369188332.0,4300836.0,16.40638733,LJZIB,VUIYU,"[2, 36, 16, 16, 30, 6, 39, 55]","[2, 36, 16, 16, 30, 6, 39, 55]","[2, 36, 16, 16, 30, 6, 39, 55]",0.0,0.0,0.25,0,0,0,0,0.0,0.05,False,BEST,0.3,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BRRNKJ[M],46,5,100,11,False,False,"[51, 22, 23, 54, 39, 47, 54, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [256, 3]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.582318517,0,0,,1506080748.0,9100324.0,34.71498108,QHRAD,GCPYF,"[51, 22, 23, 54, 39, 44, 49, 22]","[51, 22, 23, 54, 39, 47, 54, 54]","[51, 22, 23, 54, 39, 47, 54, 54]",0.375,0.0,0.125,0,0,0,0,0.05,0.05,False,BEST,0.11,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BZLIBT[M],47,6,100,17,False,False,"[46, 32, 44, 29, 46, 7, 28, 31]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [128, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.565714486,0,0,,1143984300.0,3822756.0,14.58265686,UAGUS[M],FOKVR[M],"[10, 49, 62, 29, 46, 7, 28, 31]","[46, 32, 44, 29, 46, 7, 5, 31]","[46, 32, 44, 29, 46, 7, 28, 31]",0.375,0.125,0.0,0,0,0,0,0.1,0.0,False,BEST,0.17,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BOVSCS[M],48,7,100,46,False,False,"[25, 28, 4, 13, 51, 38, 63, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 3]}, {'CONV': [64, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [256, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.566974971,0,0,,517988588.0,6257188.0,23.86927795,GMWKK[M],HNIOU[M],"[25, 28, 4, 10, 51, 38, 63, 39]","[25, 28, 4, 12, 51, 38, 63, 39]","[25, 28, 4, 12, 51, 38, 63, 39]",0.125,0.0,0.125,0,0,0,0,0.0,0.05,False,BEST,0.46,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BKWYEF[M],49,8,100,20,False,False,"[25, 28, 4, 6, 30, 6, 13, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [32, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [128, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.594864977,0,0,,446069484.0,3701284.0,14.11927795,HBXNW,NAGYH,"[25, 28, 26, 6, 30, 6, 28, 55]","[25, 6, 4, 6, 30, 6, 13, 55]","[25, 28, 4, 6, 30, 6, 13, 55]",0.25,0.125,0.0,0,0,0,0,0.05,0.0,False,BEST,0.2,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BGUZBT,50,9,100,14,False,False,"[27, 28, 23, 52, 31, 6, 11, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 5]}, {'CONV': [64, 5]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 5]}, {'CONV': [64, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.581140243,0,0,,862709100.0,4803876.0,18.32533264,MPXJE,PPJFQ,"[27, 28, 23, 52, 31, 6, 25, 55]","[16, 28, 23, 36, 14, 6, 11, 55]",,0.125,0.375,-1.0,0,0,0,0,0.1,0.0,False,BEST,0.14,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BLPODC[M],51,10,100,29,False,False,"[39, 8, 18, 15, 39, 7, 39, 55]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 5]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [64, 3]}), ({'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [32, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.588379704,0,0,,1401454380.0,6502308.0,24.80433655,HJGZM[M],TUAYC[M],"[39, 8, 18, 38, 8, 7, 39, 55]","[16, 8, 18, 15, 39, 7, 39, 55]","[39, 8, 18, 15, 39, 7, 39, 55]",0.25,0.125,0.0,0,0,0,0,0.05,0.0,False,BEST,0.29,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BMFGRS[M],52,11,100,11,False,False,"[6, 9, 39, 58, 30, 6, 47, 45]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [256, 3]}), ({'CONV': [32, 5]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [256, 3]}), ({'CONV': [32, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 5]}, {'CONV': [256, 5]}), ({'CONV': [128, 5]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.576087913,0,0,,1121338924.0,6488484.0,24.75160217,BHHVW[M],VUXU[M],"[6, 9, 39, 58, 30, 6, 47, 63]","[6, 47, 39, 34, 30, 6, 58, 45]","[6, 9, 39, 58, 30, 6, 47, 45]",0.125,0.375,0.0,0,0,0,0,0.05,0.0,False,BEST,0.11,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BSCRPR[M],53,12,100,17,False,False,"[14, 16, 26, 38, 39, 38, 28, 37]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 5]}, {'CONV': [256, 3]}), ({'CONV': [64, 3]}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [64, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [128, 3]}, {'CONV': [128, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.599359534,0,0,,584586924.0,3743908.0,14.28187561,IANUA[M],MACRG[M],"[14, 30, 35, 38, 39, 38, 28, 37]","[14, 16, 26, 35, 31, 38, 28, 39]","[14, 16, 26, 38, 39, 38, 28, 37]",0.25,0.375,0.0,0,0,0,0,0.1,0.0,False,BEST,0.17,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BRVHXL,54,13,100,25,False,False,"[2, 28, 20, 20, 24, 38, 28, 22]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [32, 3]}, {'CONV': [64, 3]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [32, 3]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 5]}, {'CONV': [128, 3]}), ({'CONV': [64, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.580262255,0,0,,367470892.0,1929124.0,7.359024048,VQGQY[M],RSWNK[M],"[2, 22, 20, 20, 24, 38, 28, 22]","[2, 28, 20, 20, 24, 38, 22, 22]",,0.125,0.125,-1.0,0,0,0,0,0.05,0.0,False,BEST,0.25,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
BVPWSH[M],55,14,100,8,False,False,"[16, 12, 39, 58, 5, 38, 23, 39]",[],"[{'INP': 32}, {'CONV': [64, 3]}, ({'CONV': [64, 3]}, {'CONV': [32, 3]}), ({'CONV': [32, 5]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}), ({'CONV': [256, 5]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [32, 3]}, {'CONV': [128, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 2]}), ({'CONV': [64, 3]}, {'CONV': [256, 5]}), ({'CONV': [128, 3]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}), {'GLOBAL_AVG': None}, {'LAST_DENSE': [100, 'softmax']}]",HHSE,HHSE,GA,0,[],[],0.566473684,0,0,,916013036.0,5373988.0,20.50013733,GGDDV[M],UAJTX[M],"[16, 12, 39, 57, 5, 38, 23, 39]","[16, 5, 39, 57, 12, 38, 23, 39]","[16, 12, 39, 57, 5, 38, 23, 39]",0.0,0.25,0.125,0,0,0,0,0.05,0.15,False,BEST,0.08,False,False,None,0,0,0,0,,True,"{'Accuracy': 'MAX', 'FLOPs': 'MIN', 'Num_params': 'MIN'}"
