ID,isChild,Integer_encoding,Genotype,Mutation type,Crossover type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
LC-MO(1)[M]-LC-MO(2)[M](2)[M],TRUE,"[1, 0, 0, 1, 1, 1, 1, 3, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'CONV': [64, 7]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",L_MODIFY_PARAMS,SPC,GA,S,8,0.100000001,2.302602768,1714473630,95.51381588,18438154,"[1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 1, 1, 2, 5, 5, 0, 5, 0, 3]",1,5,1
LC,FALSE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.689700007,0.944261253,156359422,42.92483401,358058,[],[],[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.719600022,1.201721072,33090078,41.77019334,898410,[],[],[],-1,-1,-1
LC-MO(1),TRUE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.616400003,2.473666906,216991070,49.03458071,8593834,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(2),TRUE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.695599973,1.423577428,440059070,50.18265557,2067306,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.709299982,1.222857475,33090078,41.66770482,898410,[],[],[],-1,-1,-1
LC,FALSE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.676999986,1.003802896,156359422,42.60248685,358058,[],[],[],-1,-1,-1
MO-LC(1),TRUE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.712100029,0.992559791,32679806,41.87494278,488106,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO-LC(2),TRUE,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.697399974,0.981194854,156564894,42.5351119,563562,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO,FALSE,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.726000011,1.310521007,33090078,41.66844463,898410,[],[],[],-1,-1,-1
OP,FALSE,"[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.704400003,0.864864171,29846654,37.86759448,285386,[],[],[],-1,-1,-1
MO-OP(1),TRUE,"[1, 0, 0, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.70450002,0.866330862,11031614,37.51226234,176458,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO-OP(2),TRUE,"[1, 1, 2, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.649999976,1.395476222,68069918,43.40186477,932586,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M],TRUE,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.692700028,0.92430234,14034270,38.69617486,314666,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 5, 4, 0, 5, 0, 3]",6,9,6
LC-MO(2)[M],TRUE,"[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.705900013,1.551564336,440059070,50.45195985,2067306,"[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 2, -1, 1, 5, 3, 0, 5, 0, 3]",2,6,3
MO-LC(1)[M],TRUE,"[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.720000029,0.967887521,453562686,50.24326205,1222538,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]",4,8,3
MO-LC(2)[M],TRUE,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.5528,1.563099027,34540382,41.8932054,1180874,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 1, 1, 1, 0, 2, 2, -1, 1, 5, 4, 0, 5, 0, 3]",7,5,4
MO-OP(1)[M],TRUE,"[1, 0, 0, 2, -1, 1, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.707799971,0.912349701,11163294,37.8299911,307530,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]",8,4,2
MO-OP(2)[M],TRUE,"[2, -1, 1, 3, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.67869997,1.317963719,221594206,43.52987361,1128714,"[1, 0, 0, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 2, -1, 1, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[1, 1, 2, 1, 0, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]",5,9,5
MO-LC(2)[M],FALSE,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [32, 7]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.575900018,1.473644376,34540382,42.00659275,1180874,[],[],[],7,5,4
LC-MO(2)[M],FALSE,"[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.685000002,1.427940607,440059070,50.35392785,2067306,[],[],[],2,6,3
MO-LC(2)[M]-LC-MO(2)[M](1),TRUE,"[2, -1, 0, 1, 1, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.633400023,1.152686954,207231294,38.05439448,1218250,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO-LC(2)[M]-LC-MO(2)[M](2),TRUE,"[1, 0, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 5]}, {'CONV': [32, 7]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.638199985,1.677979112,108954974,45.52263856,4298090,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M],FALSE,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.701600015,0.898187816,14034270,38.10033846,314666,[],[],[],6,9,6
MO-LC(1)[M],FALSE,"[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.718400002,0.916606367,453562686,50.26644349,1222538,[],[],[],4,8,3
LC-MO(1)[M]-MO-LC(1)[M](1),TRUE,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.657000005,1.139713168,27931326,42.41106343,1151658,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
LC-MO(1)[M]-MO-LC(1)[M](2),TRUE,"[1, 0, 0, 1, 3, 2, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [256, 7]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.656899989,1.28415978,3709060446,128.9523437,12004106,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]",[],-1,-1,-1
MO-OP(2)[M],FALSE,"[2, -1, 1, 3, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.689300001,1.28487587,221594206,43.69352579,1128714,[],[],[],5,9,5
MO-OP(1)[M],FALSE,"[1, 0, 0, 2, -1, 1, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.6972,0.931323707,11163294,38.37867284,307530,[],[],[],8,4,2
MO-OP(2)[M]-MO-OP(1)[M](1),TRUE,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'CONV': [64, 7]}, {'CONV': [64, 7]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.61589998,2.056092978,418186590,49.33506823,2504970,"[2, -1, 1, 3, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 2, -1, 1, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO-OP(2)[M]-MO-OP(1)[M](2),TRUE,"[1, 0, 0, 2, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 3]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.709599972,1.263021827,64455262,42.4524219,975242,"[2, -1, 1, 3, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 2, -1, 1, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]",[],-1,-1,-1
MO-LC(2)[M]-LC-MO(2)[M](1)[M],TRUE,"[2, -1, 0, 1, 1, 1, 1, 3, 2, 3, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.654100001,1.041632771,207231294,37.49586368,1218250,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[2, -1, 0, 1, 1, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]",4,4,1
MO-LC(2)[M]-LC-MO(2)[M](2)[M],TRUE,"[3, -1, 1, 3, -1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 3]}, {'CONV': [32, 7]}, {'CONV': [32, 5]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.6074,1.249844551,81896414,44.31829095,875978,"[2, -1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 3, 2, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 5, 4, 0, 5, 0, 3]",4,9,5
LC-MO(1)[M]-MO-LC(1)[M](1)[M],TRUE,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.688199997,1.217034817,27931326,43.08931732,1151658,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 2, -1, 0, 1, 0, 2, 1, 1, 1, 5, 3, 0, 5, 0, 3]",4,4,0
LC-MO(1)[M]-MO-LC(1)[M](2)[M],TRUE,"[1, 0, 0, 3, -1, 0, 1, 3, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'POOLAVG': [-1, 2]}, {'CONV': [256, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.698599994,0.879155457,105842014,37.71212435,2501130,"[1, 0, 0, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 3, -1, 0, 2, -1, 1, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[1, 0, 0, 1, 3, 2, 2, -1, 1, 3, -1, 0, 5, 4, 0, 5, 0, 3]",2,7,6
MO-OP(2)[M]-MO-OP(1)[M](1)[M],TRUE,"[1, 1, 1, 3, -1, 0, 1, 1, 2, 3, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",L_CHANGE_TYPE,SPC,GA,S,8,0.701099992,0.915192306,56582526,38.53156996,411850,"[2, -1, 1, 3, -1, 1, 2, -1, 1, 1, 1, 1, 5, 4, 0, 5, 0, 3]","[1, 0, 0, 2, -1, 1, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]","[1, 1, 1, 1, 1, 2, 1, 1, 2, 2, -1, 0, 5, 4, 0, 5, 0, 3]",8,6,5
