ID,Seed,Execution,Generation,isChild,Integer_encoding,Genotype,Crossover type,Mutation type,Search strategy,Type,Epochs,Accuracy,Loss,FLOPs,CPU Sec,Number of Parameters,Parent1,Parent2,Before Mutation,HD_P1,HD_P2,HD_BM
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.69630003,1.022402525,267487070,31.90440488,3536298,[],[],[],-1,-1,-1
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.608399987,1.110409856,141631854,28.37150788,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.705600023,0.911879957,94104830,27.64679527,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.617699981,1.086749554,1816199534,53.60564542,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.62529999,1.081776261,81576302,27.4085269,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.640500009,1.214286923,1278380702,54.04784894,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.64410001,1.035795569,30819006,25.10064793,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.660700023,0.996854782,141861566,27.63638282,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.682900012,0.914823234,36930926,24.35543609,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,5,0.681800008,0.926713407,762786622,37.40941286,1155082,[],[],[],-1,-1,-1
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.655900002,1.627995729,267487070,58.2334559,3536298,[],[],[],-1,-1,-1
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.640799999,1.061574697,141631854,52.37021184,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.676699996,1.777726531,94104830,52.10227513,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.619199991,1.483148813,1816199534,102.8644667,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.617900014,1.570049405,81576302,53.19204664,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.100000001,2.302638769,1278380702,104.1805294,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.676999986,1.079687834,30819006,48.65743995,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.645600021,1.484983802,141861566,52.99907637,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.689400017,0.895906568,36930926,46.64101696,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,10,0.699599981,0.97197032,762786622,71.85776734,1155082,[],[],[],-1,-1,-1
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.665000021,3.12701416,267487070,114.9397109,3536298,[],[],[],-1,-1,-1
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.665700018,1.060988307,141631854,104.1527286,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.682600021,2.54583025,94104830,102.0059791,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.5995,3.054592609,1816199534,203.0636582,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.603100002,2.525745392,81576302,104.2369285,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.618099988,3.673523903,1278380702,207.4034626,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.669200003,1.690778494,30819006,94.76981258,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.625400007,3.001128912,141861566,104.2916737,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.712800026,0.908552229,36930926,91.18213701,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,20,0.675700009,1.686010003,762786622,141.0065629,1155082,[],[],[],-1,-1,-1
AD,0,1,1,FALSE,"[1, 1, 0, 1, 0, 1, 1, 3, 1, 2, -1, 1, 5, 4, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 3]}, {'CONV': [32, 5]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [128, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.680700004,8.273072243,267487070,561.6550794,3536298,[],[],[],-1,-1,-1
PQ,0,1,1,FALSE,"[1, 3, 2, 2, -1, 0, 1, 0, 2, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 7]}, {'POOLMAX': [-1, 2]}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.617999971,3.863064051,141631854,509.6741884,505226,[],[],[],-1,-1,-1
MC,0,1,1,FALSE,"[1, 0, 0, 1, 0, 2, 2, -1, 1, 1, 3, 2, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 3]}, {'CONV': [32, 7]}, {'POOLMAX': [-1, 3]}, {'CONV': [256, 7]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.657999992,5.722028255,94104830,498.2905283,2091882,[],[],[],-1,-1,-1
QH,0,1,1,FALSE,"[1, 3, 1, 1, 2, 2, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [128, 7]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.617200017,7.861866474,1816199534,1012.000265,2821738,[],[],[],-1,-1,-1
TG,0,1,1,FALSE,"[1, 1, 2, 1, 0, 0, 1, 1, 1, 3, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [32, 3]}, {'CONV': [64, 5]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.609899998,7.370234489,81576302,505.419246,603850,[],[],[],-1,-1,-1
NB,0,1,1,FALSE,"[1, 3, 1, 1, 1, 2, 1, 3, 1, 2, -1, 0, 5, 5, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 5]}, {'CONV': [64, 7]}, {'CONV': [256, 5]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [256, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.609399974,12.8319788,1278380702,1020.434055,18012234,[],[],[],-1,-1,-1
AH,0,1,1,FALSE,"[1, 0, 2, 3, -1, 0, 1, 1, 2, 3, -1, 0, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [32, 7]}, {'POOLAVG': [-1, 2]}, {'CONV': [64, 7]}, {'POOLAVG': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.652199984,5.309471607,30819006,463.3331921,368010,[],[],[],-1,-1,-1
YN,0,1,1,FALSE,"[1, 1, 2, 1, 1, 1, 2, -1, 0, 1, 1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [64, 7]}, {'CONV': [64, 5]}, {'POOLMAX': [-1, 2]}, {'CONV': [64, 5]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.613099992,10.51172352,141861566,507.7247696,1263690,[],[],[],-1,-1,-1
S,0,1,1,FALSE,"[1, 3, 0, 2, -1, 1, 1, 2, 0, 2, -1, 0, 5, 2, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'POOLMAX': [-1, 3]}, {'CONV': [128, 3]}, {'POOLMAX': [-1, 2]}, {'FLATTEN': None}, {'DENSE': [32, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.698700011,3.256177187,36930926,440.2893517,404970,[],[],[],-1,-1,-1
AW,0,1,1,FALSE,"[1, 3, 0, 1, 3, 0, 1, 1, 0, 2, -1, 1, 5, 3, 0, 5, 0, 3]","[{'INP': 32}, {'CONV': [256, 3]}, {'CONV': [256, 3]}, {'CONV': [64, 3]}, {'POOLMAX': [-1, 3]}, {'FLATTEN': None}, {'DENSE': [64, 'relu']}, {'DENSE': [10, 'softmax']}]",,,GA,S,100,0.665400028,5.312943459,762786622,699.6924472,1155082,[],[],[],-1,-1,-1
